                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.00543,                 0.5997,                0.95359,                0.00628,                0.61449,                0.99055,                      1,                0.78078,                0.93786,                0.70766,                0.00814,                0.69875,                 1.3268,                0.00756,                0.59699,                 1.2263,              0.0062875,              0.0062875,              0.0062875
                     78,                0.00502,                0.60185,                0.94157,                0.00543,                0.64545,                 1.0105,                      1,                0.98337,                  0.995,                 0.7141,                0.00826,                0.65566,                 1.3232,                0.00819,                0.66467,                 1.2458,               0.006238,               0.006238,               0.006238
                     79,                0.00511,                0.56396,                0.93014,                0.00592,                0.61176,                0.99063,                      1,                0.98367,                  0.995,                0.70291,                0.00783,                0.61638,                 1.2508,                0.00867,                0.61322,                  1.262,              0.0061885,              0.0061885,              0.0061885
                     80,                0.00488,                0.57452,                0.91694,                 0.0058,                0.59702,                0.98049,                      1,                0.98367,                  0.995,                0.70291,                0.00783,                0.61638,                 1.2508,                0.00867,                0.61322,                  1.262,               0.006139,               0.006139,               0.006139
                     81,                0.00539,                0.59015,                0.93069,                0.00586,                0.64628,                0.98505,                      1,                0.99853,                  0.995,                0.68092,                0.00872,                0.68165,                  1.312,                0.00922,                0.57526,                 1.2475,              0.0060895,              0.0060895,              0.0060895
                     82,                0.00543,                0.60021,                 0.9777,                0.00672,                 0.6225,                 1.0584,                      1,                0.99853,                  0.995,                0.68092,                0.00872,                0.68165,                  1.312,                0.00922,                0.57526,                 1.2475,                0.00604,                0.00604,                0.00604
                     83,                0.00523,                0.56193,                0.95881,                0.00573,                0.61041,                0.98016,                0.97302,                      1,                  0.995,                0.66446,                0.00912,                0.71384,                 1.3247,                0.00929,                0.48224,                 1.2506,              0.0059905,              0.0059905,              0.0059905
                     84,                 0.0058,                 0.6326,                0.98725,                0.00675,                0.74509,                 1.0438,                0.98053,                      1,                  0.995,                0.72809,                0.00878,                0.75958,                 1.3381,                0.00842,                0.50688,                 1.2179,               0.005941,               0.005941,               0.005941
                     85,                0.00619,                 0.6397,                 1.0154,                0.00699,                0.64012,                 1.1372,                0.98053,                      1,                  0.995,                0.72809,                0.00878,                0.75958,                 1.3381,                0.00842,                0.50688,                 1.2179,              0.0058915,              0.0058915,              0.0058915
                     86,                0.00535,                0.58283,                0.95662,                0.00586,                0.85129,                 1.0416,                0.69696,                      1,                0.85786,                0.63276,                0.00754,                 0.6701,                 1.2589,                0.00791,                0.91235,                 1.1821,               0.005842,               0.005842,               0.005842
